Symbol,Company,Bonus (%),Cash (%),Total (%),Announcement Date,Book Closure Date,Distribution Date,Bonus Listing Date,Fiscal Year
RKDHL,R.K.D Holdings Limited,,5.00,5.00,2026-06-19,,,,2081/2082
UAIL,United Ajod Insurance Limited,4.2857,0.2256,4.5113,2026-06-19,2026-07-03 [Closed],,,2081/2082
MANDU,Mandu Hydropower Limited,10.00,0.5263,10.5263,2026-06-02,2026-08-21 [Closed],,,2081/2082
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,14.25,0.75,15.00,2026-03-26,2026-04-09 [Closed],,,2081/2082
CIGL,Chandragiri Investment Group Limited,,4.00,4.00,2026-03-22,,,,2081/2082
PHLTD,Professional Holdings Limited,2.6316,50.00,52.6316,2026-03-19,,,,2081/2082
UNIGLOBE,Uniglobe Higher Secondary School Kathmandu Limited,0.2632,5.00,5.2632,2026-03-19,,,,2081/2082
SGIC,Sanima GIC Insurance Limited,5.00,0.2632,5.2632,2026-03-15,2026-05-06 [Closed],,2026-08-20,2081/2082
PRIN,Prabhu Insurance Company Limited,8.7,0.4579,9.1579,2026-03-03,2026-04-09 [Closed],,2026-08-27,2081/2082
UMHL,United Modi Hydropower Limited,7.00,0.3684,7.3684,2026-02-22,2026-04-17 [Closed],,,2081/2082
STC,Salt Trading Corporation Limited,9.5,0.5,10.00,2026-02-12,2026-05-27 [Closed],,2026-08-19,2081/2082
SMH,Supermai Hydropower  Limited,20.00,1.11,21.11,2026-02-04,2026-02-25 [Closed],,2026-06-29,2081/2082
SUMERU,Sumeru Polymers Limited,9.00,0.0237,9.0237,2026-01-30,2026-02-05 [Closed],,,2081/2082
HIGHLAND,Highland Distillery Limited,25.00,1.3158,25.3158,2026-01-21,,,,2081/2082
NIL,Neco Insurance Limited,3.00,12.7894,13.7894,2026-01-16,2026-02-08 [Closed],,2026-06-29,2081/2082
ALICL,Asian Life Insurance Company Limited,5.00,5.5263,10.5263,2026-01-14,2026-02-12 [Closed],,2026-06-24,2081/2082
HEI,Himalayan Everest Insurance Limited,0.00,8.00,8.00,2025-12-28,2026-01-05 [Closed],,,2081/2082
CHCL,Chilime Hydro power Company Limited,8.00,4.00,12.00,2025-12-24,2026-01-01 [Closed],,2026-08-27,2081/2082
NTC,Nepal Doorsanchar Company Limited,0.00,30.00,30.00,2025-12-24,2026-01-04 [Closed],,,2081/2082
API,Api Power Company Limited,5.00,0.2632,5.2632,2025-12-23,2026-01-02 [Closed],,2026-03-01,2081/2082
NLG,NLG Insurance Company Limited,4.00,3.3684,7.3684,2025-12-23,2026-01-06 [Closed],,2026-03-30,2081/2082
BHDC,Bindhyabasini Hydropower Development Company Limited,5.00,0.2632,5.2632,2025-12-23,2026-01-06 [Closed],,2026-03-30,2081/2082
UHEWA,Upper Hewakhola Hydropower Company Limited,15.00,0.789,15.789,2025-12-23,2026-01-01 [Closed],,2026-03-26,2081/2082
MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,4.75,0.25,5.00,2025-12-23,2026-01-02 [Closed],,2026-03-25,2081/2082
NHAEL,Nepal Hydro and Electric Limited,10.00,0.53,10.53,2025-12-23,,,,2081/2082
CIT,Citizen Investment Trust,5.00,8.00,13.00,2025-12-22,2026-01-05 [Closed],,2026-05-06,2081/2082
KPCL,Kalika Power Company Limited,7.00,0.3684,7.3684,2025-12-22,2026-01-02 [Closed],,,2081/2082
CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,12.76,0.67,13.43,2025-12-21,,,,2081/2082
SJLIC,SuryaJyoti Life Insurance Company Limited,0.00,13.00,13.00,2025-12-21,2026-01-02 [Closed],,,2081/2082
RNLI,Reliable Nepal Life Insurance Limited,0.00,12.00,12.00,2025-12-21,2026-01-05 [Closed],,,2081/2082
SPDL,Synergy Power Development Limited,10.00,0.5263,10.5263,2025-12-21,2025-12-29 [Closed],,,2081/2082
MLBBL,Mithila Laghubitta Bittiya Sanstha Limited,14.25,0.75,15.00,2025-12-21,2025-12-31 [Closed],,2026-04-20,2081/2082
MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,4.75,0.25,5.00,2025-12-21,2026-01-01 [Closed],,2026-03-31,2081/2082
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Limited,14.25,0.75,15.00,2025-12-21,2026-01-02 [Closed],,2026-03-13,2081/2082
GILB,Global IME Laghubitta Bittiya Sanstha Limited,4.75,0.25,5.00,2025-12-21,2026-01-02 [Closed],,2026-04-22,2081/2082
KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,10.00,0.5263,10.5263,2025-12-21,2026-01-05 [Closed],,2026-04-10,2081/2082
LICN,Life Insurance Corporation Nepal Limited,0.00,21.05,21.05,2025-12-21,2026-01-01 [Closed],,,2081/2082
SMB,Support Laghubitta Bittiya Sanstha Limited,9.5,0.5,10.00,2025-12-21,2025-12-31 [Closed],,2026-05-06,2081/2082
BPCL,Butwal Power Company Limited,0.00,6.00,6.00,2025-12-19,2025-12-30 [Closed],,,2081/2082
PCBL,Prime Commercial Bank Limited,8.00,0.421,8.421,2025-12-19,2026-01-05 [Closed],,2026-03-31,2081/2082
SALICO,Sagarmatha Lumbini Insurance Company Limited,0.00,15.00,15.00,2025-12-19,2026-01-04 [Closed],,,2081/2082
BFIINL,Banking Finance and Insurance Institute of Nepal Limited,0.00,14.7368,14.7368,2025-12-19,,,,2081/2082
CDS,CDS & Clearing Limited,0.00,100.00,100.00,2025-12-19,,,,2081/2082
RURU,Ru Ru Jalbidhyut Pariyojana Limited,10.00,5.789,15.789,2025-12-19,2025-12-28 [Closed],,2026-04-09,2081/2082
NLICL,National Life Insurance Company Limited,4.00,8.5,12.5,2025-12-18,2026-01-01 [Closed],,2026-03-22,2081/2082
SNLI,Sun Nepal Life Insurance Company Limited,5.00,15.2632,20.2632,2025-12-18,2025-12-29 [Closed],,2026-03-13,2081/2082
NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,5.00,7.00,12.00,2025-12-18,2026-01-01 [Closed],,2026-03-25,2081/2082
NICL,Nepal Insurance Company Limited,0.00,6.3158,6.3158,2025-12-18,2025-12-29 [Closed],,,2081/2082
PMLI,Prabhu Mahalaxmi Life Insurance Company Limited,4.00,4.421,8.421,2025-12-18,2026-01-05 [Closed],,2026-03-30,2081/2082
NMFBS,National Laghubitta Bittiya Sanstha Limited,14.25,0.75,15.00,2025-12-17,2026-01-06 [Closed],,2026-03-25,2081/2082
SICL,Shikhar Insurance Company Limited,6.00,0.3158,6.3158,2025-12-17,2025-12-29 [Closed],,2026-04-10,2081/2082
