S.N,Year Month,Metered Energy,Energy to R.E. (Local distribution),Internal Consumption,Total Energy Generation,Backfeed Energy From NEA,Backfeed Amount,Rate to NEA,R.E Rate (NRS),Invoice to NEA(NRS),Amount paid by NEA (NRs),Amount Deducted,Revenue From R.E (NRs) Local Distribution,Previous Due Royalty Chargeable Rs,Royalty Amount,col,PlantId,FiscalId,Plant,FiscalYear,Additional Energy,Transmission Loss,Seasional Rate,Billed Amount to NEA,Amount paid by NEA Rs,Late COD & Other Fine Rs,Short Supply,Remarks,Seasional Rate (USD),Exchange Rate,Invoice to NEA(USD),Amount paid by NEA (USD)
1,2078/3,3237792.00,2564184.17,42564.00,5844540.17,,,,,,8301091.00,,14588781.00,22889872.00,2288987.2,,8,15,"Aandikhola HP , 9400 kW",078/79,,,,,,,,,,,,
2,2078/4,,3102312.11,,3102312.11,,,4.48,,13991566.61,12872237.77,,17215537.00,30087774.77,3008777.48,,8,15,"Aandikhola HP , 9400 kW",078/79,,,,,,,,,,,,
3,2078/5,,3305391.67,,3305391.67,,,4.48,,15062743.68,14935195.68,,18272530.00,33207725.68,3320772.57,,8,15,"Aandikhola HP , 9400 kW",078/79,,,,,,,,,,,,
4,2078/6,,3398925.03,,3398925.03,,,4.48,,15549484.86,15390429.74,,15996728.00,31387157.74,3138715.77,,8,15,"Aandikhola HP , 9400 kW",078/79,,,,,,,,,,,,
5,2078/7,,3022600.00,,3022600.00,,,4.48,,16597174.80,16885639.67,,14856623.00,31742262.67,3174226.27,,8,15,"Aandikhola HP , 9400 kW",078/79,,,,,,,,,,,,
6,2078/8,,2387973.72,,2387973.72,,,4.48,,10698122.27,10698122.27,,14235668.00,24933790.27,2493379.03,,8,15,"Aandikhola HP , 9400 kW",078/79,,,,,,,,,,,,
7,2078/9,,2432048.38,,2432048.38,,,4.48,,10895576.70,10895576.74,,14931107.00,25826683.74,2582668.37,,8,15,"Aandikhola HP , 9400 kW",078/79,,,,,,,,,,,,
8,2078/10,2978815.00,1822723.00,902782.00,5704320.00,,,,,,8165799.00,,15332837.00,23498636.00,2349863.6,,8,15,"Aandikhola HP , 9400 kW",078/79,,,,,,,,,,,,
9,2078/11,2695663.00,1259924.00,101590.00,4057177.00,,,,,,9155116.00,,14672307.00,23827423.00,2382742.3,,8,15,"Aandikhola HP , 9400 kW",078/79,,,,,,,,,,,,
10,2078/12,,,,0.00,,43726.00,,,,3302878.00,,14508811.00,17855415.00,1785541.5,,8,15,"Aandikhola HP , 9400 kW",078/79,,,,,,,,,,,,
11,2079/1,,,,0.00,,,,,,6900569.00,,14758434.00,21659003.00,2165900.3,,8,15,"Aandikhola HP , 9400 kW",078/79,,,,,,,,,,,,
12,2079/2,3272040.00,2584833.00,41967.00,5898840.00,,,,,,11797089.67,,15852704.00,27649793.67,2764979.37,,8,15,"Aandikhola HP , 9400 kW",078/79,,,,,,,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,31456553.76,,8,15,"Aandikhola HP , 9400 kW",078/79,,,,,,,,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,9400000.0,,8,15,"Aandikhola HP , 9400 kW",078/79,,,,,,,,,,,,
Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,Received,40128577.7,,8,15,"Aandikhola HP , 9400 kW",078/79,,,,,,,,,,,,
Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,Balance,18636654.8,,8,15,"Aandikhola HP , 9400 kW",078/79,,,,,,,,,,,,
1,2080/3,3888715.00,2372192.00,49593.00,6310500.00,,,4.48,5.19,,10851577.00,,20189658.00,31041235.00,3104123.5,,8,17,"Aandikhola HP , 9400 kW",080/81,,,,,,,,,,,,
2,2080/4,4052539.00,2702894.00,55227.00,6810660.00,,,4.48,4.96,,12108966.00,,20115340.00,32224306.00,3222430.6,,8,17,"Aandikhola HP , 9400 kW",080/81,,,,,,,,,,,,
3,2080/5,3932520.00,2437857.00,49563.00,6419940.00,,,4.48,5.23,,10921599.00,,20598820.00,31520419.00,3152041.9,,8,17,"Aandikhola HP , 9400 kW",080/81,,,,,,,,,,,,
4,2080/6,3437452.00,2955961.00,47647.00,6441060.00,,,4.48,5.48,,13306014.00,,18866403.00,32172417.00,3217241.7,,8,17,"Aandikhola HP , 9400 kW",080/81,,,,,,,,,,,,
5,2080/7,2997449.00,3617445.00,170926.00,6785820.00,,,4.48,5.20,,16563062.00,,15589111.00,32152173.00,3215217.3,,8,17,"Aandikhola HP , 9400 kW",080/81,,,,,,,,,,,,
6,2080/8,3008861.00,2185626.00,1389493.00,6583980.00,,,4.48,4.98,,9791607.00,,14997149.00,24788756.00,2478875.6,,8,17,"Aandikhola HP , 9400 kW",080/81,,,,,,,,,,,,
7,2080/9,3035279.00,937516.00,892245.00,4865040.00,,,4.48,5.12,,4200070.00,,15565374.00,19765444.00,1976544.4,,8,17,"Aandikhola HP , 9400 kW",080/81,,,,,,,,,,,,
