UrlId,Id,PlantName,LicenseNumber,PlantCapacity,LicensedMiti,LicenseExpiryMiti,MitiofOperation,WardNo,VDCMNC,PhoneNo,Email,URL,Rivers,Latitude,Longitude,DateofOperation,LicensedDate,LicenseExpiryDate,CreatedBy,CreatedDate,IsActive,CompanyId,PlantType,DistrictId,ProvinceId
1,1,Chilime Plant,6,22100.00,2054/04/26,2104/11/30,2060/05/07,,Shyafrubesi,,info@chilime.com.np,http://www.chilime.com.np,Chilime,39.7817,-89.6501,8/24/2003 12:00:00 AM,8/10/1997 12:00:00 AM,1/22/2024 12:00:00 AM,admin,1/1/2013 12:00:00 AM,True,Chilime Hydropower Company Ltd. Kathmandu,Seasonal rate in NRS,,Province 1
5,5,Piluwa Khola HP,9,3200.00,2060/06/01,2091/09/03,2060/06/01,,,,,,Piluwa khola,,,9/18/2003 12:00:00 AM,9/18/2003 12:00:00 AM,12/18/2034 12:00:00 AM,admin,1/1/2013 12:00:00 AM,True,Arun Valley HP Dev.  Ltd,Seasonal rate in NRS,Sankhuwasabha,Province 1
6,6,Ridi Khola HP,22,2400.00,2064/02/17,2099/02/16,2066/07/10,,,,,,Ridi,,,10/27/2009 12:00:00 AM,5/31/2007 12:00:00 AM,10/28/2043 12:00:00 AM,admin,1/1/2013 12:00:00 AM,True,Ridi Hydro Power Development Company Limited Ridi,Seasonal rate in NRS,Palpa,Lumbini
7,7,Upper Bhotekoshi,5,45000.00,2050/02/05,2098/12/15,2057/10/11,Sindhupalchowk,,,,,Bhote Koshi,,,1/24/2001 12:00:00 AM,5/18/1993 12:00:00 AM,3/29/2042 12:00:00 AM,admin,1/1/2013 12:00:00 AM,True,Bhotekoshi Power Company Pvt. Ltd,PPA Rate in USD & NRS,Sindhupalchok,Bagmati
8,8,Aandikhola HP,2_gtd,9400.00,2045/02/14,2075/02/13,2048/02/18,"Aandhikhola, Syangja",,977-086-590104,info@bpc.com.np,https://www.bpc.com.np/,Andhi Khola,39.7817,-89.6501,6/1/1991 12:00:00 AM,5/27/1988 12:00:00 AM,5/27/2018 12:00:00 AM,admin,1/1/2013 12:00:00 AM,True,Butwal Power Company,Local R.E Distribution,,Province 1
9,9,Khimti I HP,1,60000.00,2051/11/01,2101/10/29,2056/12/17,5,Tamakoshi ,977048410031,hpl@hpl.com.np,https://hpl.com.np/,Khimti Khola,39.7817,-89.6501,3/30/2000 12:00:00 AM,2/13/1995 12:00:00 AM,3/30/2020 12:00:00 AM,admin,1/1/2013 12:00:00 AM,True,Himal Hydropower Co Ltd,Seasonal rate in NRS,Dolakha,Bagmati
10,10,Indrawati 3,7,7500.00,2054/11/14,2094/06/21,2059/06/21,Sindhupalchok,,,,,Indrawati Khola,,,10/7/2002 12:00:00 AM,2/26/1998 12:00:00 AM,10/7/2037 12:00:00 AM,admin,1/1/2013 12:00:00 AM,True,National Hydropower Company Limited Katmandu,Seasonal rate in NRS,Sindhupalchok,Province 1
12,12,Chaku Khola  Small HP,17,3200.00,2061/11/04,2096/11/03,2062/03/01,Sindhupalchok,,,,,Chaku,,,6/15/2005 12:00:00 AM,2/15/2005 12:00:00 AM,3/15/2037 12:00:00 AM,admin,1/1/2013 12:00:00 AM,True,Laughing Buddha Power Nepal Pvt. Ltd.,Seasonal rate in NRS,Sindhupalchok,Province 1
13,13,Sunkoshi Small HP,12,2600.00,2059/06/22,2094/03/31,2061/12/11,Sindhupalchok,3137 Laguna Street,555-666-0606,testing@example.com,http://www.example.com,Sun Koshi,39.7817,-89.6501,3/24/2005 12:00:00 AM,10/8/2002 12:00:00 AM,3/15/2042 12:00:00 AM,admin,1/1/2013 12:00:00 AM,True,Sanima Hydropower Company Limited casc,Seasonal rate in NRS,,Province 1
14,14,Khudi HP,16,4000.00,2061/11/13,2096/11/12,2063/09/15,,"Ghanpokhara, Khudi, Simpani ",,info@khl.com.np,https://www.khl.com.np/,Khudi,39.7817,-89.6501,12/30/2006 12:00:00 AM,2/24/2005 12:00:00 AM,3/15/2023 12:00:00 AM,admin,1/1/2013 12:00:00 AM,True,Khudi Hydro Power Company LTD 1,Seasonal rate in NRS,,Province 1
