PlantId,FiscalId,Previous Due,Energy Royalty,Capacity Royalty,Received,Balance,Plant,FiscalYear
1,1,"5,779,463.47","17,636,115.86","2,210,000.04","23,774,086.00","1,851,493.37","Chilime Plant , 22100 kW",066/67
1,10,"2,515,139.00","27,617,829.00","2,210,000.00","24,965,711.00","7,377,257.00","Chilime Plant , 22100 kW",074/75
1,11,"7,377,257.00","23,472,431.18","22,100,000.00","104,955,156.00","-52,005,467.82","Chilime Plant , 22100 kW",075/76
1,12,"20,006,402.00","114,978,806.92","22,100,000.00","149,803,960.92","7,281,248.00","Chilime Plant , 22100 kW",076/77
1,14,"7,281,248.00","111,655,831.48","22,100,000.00","133,753,369.08","7,283,710.40","Chilime Plant , 22100 kW",077/78
1,15,"7,283,710.40","117,726,708.61","22,100,000.00","147,104,859.61","5,559.40","Chilime Plant , 22100 kW",078/79
1,16,"5,559.40","113,003,585.94","22,100,000.00","115,132,750.82","19,976,394.52","Chilime Plant , 22100 kW",079/80
1,17,"19,976,394.52","112,513,525.65","22,100,000.00","142,189,759.41","12,400,160.76","Chilime Plant , 22100 kW",080/81
1,18,"12,400,160.76","114,146,452.90","22,100,000.00","137,223,377.92","11,423,235.74","Chilime Plant , 22100 kW",081/82
1,19,0.00,"91,632,759.78",0.00,"136,914,976.72","-45,282,216.94","Chilime Plant , 22100 kW",082/83
1,2,"1,691,905.26","17,580,294.92","2,210,000.04","19,696,688.91","1,785,511.31","Chilime Plant , 22100 kW",067/68
1,20,,,,,,"Chilime Plant , 22100 kW",083/84
1,3,"1,856,681.35","17,843,075.98","2,210,000.04","20,068,612.45","1,841,144.92","Chilime Plant , 22100 kW",068/69
1,5,"2,077,353.00","19,197,153.14","2,210,000.04","21,394,966.29","2,089,539.89","Chilime Plant , 22100 kW",069/70
1,6,"2,089,539.85","19,688,223.24","2,210,000.04","19,597,216.00","4,390,547.13","Chilime Plant , 22100 kW",070/71
1,7,"4,390,547.09","20,350,457.64","2,210,000.04","24,585,948.00","2,365,056.77","Chilime Plant , 22100 kW",071/72
1,8,"2,365,056.73","23,293,703.28","2,210,000.04","25,392,642.52","2,476,117.53","Chilime Plant , 22100 kW",072/73
1,9,"62,274.00","23,870,285.54",0.00,"26,041,263.91","-2,108,704.37","Chilime Plant , 22100 kW",073/74
10,1,"14,817,540.00","3,639,715.76","750,000.00",0.00,"19,207,255.76","Indrawati 3 , 7500 kW",066/67
10,10,"4,341,203.00","12,665,357.15","7,500,000.00","4,341,203.00","20,165,357.15","Indrawati 3 , 7500 kW",074/75
10,11,"20,165,357.00","20,466,926.60","7,500,000.00","23,700,000.00","24,432,283.60","Indrawati 3 , 7500 kW",075/76
10,12,"24,432,283.00","21,411,855.70","7,500,000.00","20,500,000.00","32,844,138.70","Indrawati 3 , 7500 kW",076/77
10,14,"32,844,139.00","18,331,635.83","7,500,000.00","32,844,139.00","25,831,635.83","Indrawati 3 , 7500 kW",077/78
10,15,"25,831,635.83","15,395,643.50","7,500,000.00","41,227,309.50","7,499,969.83","Indrawati 3 , 7500 kW",078/79
10,16,"7,499,969.83","19,473,179.47","7,500,000.00","16,922,350.21","17,550,799.09","Indrawati 3 , 7500 kW",079/80
10,17,"17,550,799.09","19,138,554.28","7,500,000.00","35,410,857.60","8,778,495.77","Indrawati 3 , 7500 kW",080/81
10,18,"8,778,495.77","16,309,538.19","7,500,000.00","21,178,219.75","11,409,814.21","Indrawati 3 , 7500 kW",081/82
10,19,0.00,"13,583,396.28",0.00,"19,405,167.88","-5,821,771.60","Indrawati 3 , 7500 kW",082/83
