Ticker,Company,RegisterCompany,PlantIds,Plants,MW,PlantNames,Source,Note
AHL,Asian Hydropower Limited,Asian Hydropower Ltd New Baneshwor,119,1,6.2,Lower Jogmai Khola HPP,auto,
AHPC,Arun Valley Hydropower Development,Arun Valley HP Dev.  Ltd,5;123,2,13.1,Piluwa Khola HP | Kabeli B-1 Cascade,auto,
AKJCL,Ankhu Khola Jalvidhyut Company Ltd.,Ankhu Khola Hydropower Co. Ltd.,44,1,8.4,Ankhukhola Small HP,auto,
AKPL,Arun Kabeli Power Ltd.,Arun Kabeli Power Limited. Baneshwor,102,1,25.0,Kabeli B - 1,auto,
APHL,Appolo Hydropower Limited,"Apolo Hydropower Pvt. Ltd. Maharajgunj, Kathmandu",207,1,6.0,Buku Khola HPP,auto,
API,Api Power,Api Power Company Ltd.,61;101;155,3,56.5,Nau gad khola | Upper Naugad Gad  | Upper Chameliya,auto,
BARUN,Barun Hydropower,Barun Hydropower,36,1,4.5,Hewa Khola HP,auto,
BEDC,Bhugol Energy Development Company Limited,"Bhugol Energy Development Company Pvt Ltd Baneshwor-10, Kathmandu",69,1,3.8,Dwari Khola SHP,auto,
BGWT,Bhagawati Hydropower Development Company Limited,Bhagawati Hydropower Development Company Ltd. Bijaypur,38,1,4.5,Bijaypur-1 Small HP,auto,
BHCL,Bikash Hydropower Company Limited,Bikash Hydropower Co. Pvt. Ltd.,147,1,4.6,Upper Machha Khola Small,auto,
BHDC,Bindhyabasini Hydropower Development Company Limited,"Bindhabasini Hydropower Dev Co. Ltd P.O.Box.10242, Newbaneswor, Kathmandu",88;93,2,15.4,Rudi A | Rudi Khola-B,researched,
BHL,Balephi Hydropower Limited,Balephi Hydropower Ltd. Koteshwor 35,140,1,36.0,Upper Balephi A,auto,
BHPL,Barahi Hydropower Public Limited,Barahi Hydropower Ltd Lakeside Pokhra-6,85,1,1.5,Theule Khola HPP,auto,
BJHL,Bhujung Hydropower Limited,Bhujung Hydropower Ltd. Baneshwor-34,163,1,7.5,Upper Midim Khola SHP,auto,
BNHC,Buddha Bhumi Nepal Hydropower Company Limited,Buddha Bhumi Nepal Hydropower Company Limited,122,1,5.0,Lower Tadi Khola,auto,
BPCL,Butwal Power,Ridi Hydro Power Development Company Limited Ridi,6,1,2.4,Ridi Khola HP,auto,
BUNGAL,Bungal Hydro Limited ,Bungal Hydro Limited,159,1,10.7,Upper Sanigad,auto,
CHCL,Chilime Hydropower,Chilime Hydropower Company Ltd. Kathmandu,1,1,22.1,Chilime Plant,auto,
CHL,Chhyangdi Hydropower Ltd.,Chhyandi Hydropower Co. Ltd,49;125,2,6.0,Chhandi Khola | Upper Chhandi Khola Small,researched,
CKHL,Chirkhwa Hydropower Limited,,,0,,Upper Chirkhwa 4.7MW,not-in-register,no RMS filings
DHEL,Daramkhola Hydro Energy Limited,Daram Khola Hydro Energy Limited Galkot-11,201,1,9.6,Daram Khola HEP,researched,
DHPL,Dibyashwori Hydropower Ltd.,"Divyaswori Hydropower Ltd. Purano Baneshwor-31, Kathmandu",71,1,4.0,Sabha Khola HPP,researched,
DOLTI,Dolti Power Company Limited,Dolti Power Company P. Ltd,103,1,4.8,Padam Khola SHP,auto,
DORDI,Dordi Khola Jal Bidyut Company Limited,Dordi Khola Jalvidyut Co. Limited,142,1,12.0,Dordi 1,auto,
EHPL,Eastern Hydropower Limited,Eastern Hydropower Ltd Kathmandu,91,1,5.0,Pikhuwa Khola,auto,
GHL,Ghalemdi Hydro Limited,Ghalemdi Hydro Limited,104,1,5.0,Ghalemdi Khola,auto,
GLH,GreenLife Hydropower Limited,,,0,,Khani Khola-1 40MW,not-in-register,under construction
GVL,Green Ventures Limited,Green Ventures Co. Ltd,116,1,52.4,Likhu-4,auto,
HDHPC,Himal Dolakha Hydropower Company Limited,Himal Dolkha Hydropower Company Limited Kathmadnu,37;84,2,12.5,Mai Khola Small HP | Mai Sana Cascade HPP,researched,
HHL,Himalayan Hydropower Limited,Himalayan Hydropower Pvt.Ltd,107,1,12.0,Namarjun Madi,auto,
HIMSTAR,Him Star Urja Company Limited,Him Star Urja Company Ltd.,198,1,5.0,Buku-Kapati HPP,auto,
HPPL,Himalayan Power Partner Ltd.,Himalayan Power Partner Limited Maharajgunj,134,1,27.0,Dordi Khola,auto,
HURJA,Himalaya Urja Bikas Company Limited,Himalaya Urja Bikash Company Limited,131;132,2,19.0,Upper Khimti II | Uppallo Khimti,auto,
