RowKey,Ticker,Year,Quarter,DataSource,PaidUpCapital,Premium,Reserves,LtLiabilities,TotalFunds,FixedAssets,Depreciation,NetFixedAssets,NonCoreAssets,Investments,WorkInProgress,Cash,Receivables,AdvancesPrepaymentsLoansDeposits,Inventory,TotalCurrentAssets,StLiabilities,DeferredLiabilities,TotalStLiabilities,ApplicationOfFunds,EnergySales,CostOfProduction,GrossProfit,DividendIncome,ForexGainLoss,OtherIncome,AdminExpenses,OperatingProfit,InterestIncomeExpense,Provisions,ProfitBeforeTax,Taxes,Bonus,ProfitAfterTax,EpsAnnualized,BookValuePerShare,Statement,OrdinaryShares,Statement_IncomeStatement,Depreciation_IncomeStatement,EPS,CurrentRatio,NetWorthPerShare,PERatio,Mps,Multiplier,Dividend,BonusD,Cash_IncomeStatement,AdditionalInfo,TotalRevenue,GrowthOverPriorPeriod,GrossProfitMargin,NetIncome,NetIncomeMargin,ReturnOnAsset,ReturnOnEquity,ReportedPeAnnualized,DividendPerShare,QuarterEndPrice
AHL|2025/26|4|Published,AHL,2025/26,4,Published,340000.0,0.0,-107326.744,846549.703,1079222.959,0.0,0.0,1271590.336,0.0,4900.0,0.0,202.474,28903.565,46119.681,0.0,75225.72,272493.097,0.0,272493.097,1079222.959,81461.844,21289.346,60172.498,0.0,0.0,0.0,9612.653,50559.845,-62443.073,0.0,-59183.629,0.0,0.0,-59183.629,-17.406949705882354,68.43331058823529,BalanceSheet,3400.0,IncomeStatement,47300.401,-17.407,0.276,68.433,-23.784,414.0,,,,,,81461.844,-0.27282262,0.7386586780431831,-59183.629,-0.7265196329216412,-0.05317353661808752,-0.22077360042449024,-23.78360407740458,,414.0
AHL|2025/26|3|Published,AHL,2025/26,3,Published,340000.0,0.0,-97383.6,834742.006,1077358.406,0.0,0.0,1224720.481,0.0,4900.0,0.0,2902.448,0.0,46102.958,0.0,49005.406,201267.481,0.0,201267.481,1077358.406,51964.857,21812.132,30152.725,0.0,0.0,0.0,9762.56,20390.165,-34076.367,0.0,-49240.483,0.0,0.0,-49240.483,-19.30999333333333,71.35776470588235,BalanceSheet,3400.0,IncomeStatement,35554.281,-19.31,0.243,71.358,-28.493,550.2,,,,,,51964.857,-1.0,0.5802522462440337,-49240.483,-0.9475727605677814,-0.04142076987652024,-0.16691106563273647,-28.493018640779788,,550.2
AHL|2025/26|2|Published,AHL,2025/26,2,Published,340000.0,0.0,-77051.005,839211.152,1102160.147,0.0,0.0,1196539.581,0.0,4900.0,0.0,11734.383,0.0,49604.845,0.0,61339.228,160618.662,0.0,160618.662,1102160.147,51964.857,17071.472,34893.385,0.0,0.0,0.0,7179.019,27714.366,-33443.556,0.0,-28907.889,0.0,0.0,-28907.889,-17.004640588235294,77.33793970588235,BalanceSheet,3400.0,IncomeStatement,23178.699,-17.005,0.382,77.338,-31.873,542.0,,,,,,51964.857,-1.0,0.6714804391744983,-28907.889,-0.5562969027317827,-0.040498530017629035,-0.15842011240534173,-31.87365220615037,,542.0
AHL|2025/26|1|Published,AHL,2025/26,1,Published,340000.0,0.0,-33124.851,841371.55,1148246.699,0.0,0.0,1208128.931,0.0,4900.0,0.0,8336.966,29278.403,56938.385,0.0,94553.754,159335.986,0.0,159335.986,1148246.699,51964.857,6633.044,45331.813,0.0,0.0,0.0,1042.833,44288.98,-17977.752,0.0,14721.878,0.0,0.0,14721.878,17.319856470588235,90.25739676470587,BalanceSheet,3400.0,IncomeStatement,11589.35,17.32,0.593,90.257,35.508,615.0,,,,,,51964.857,-0.02300189,0.8723551957431539,14721.878,0.2833045032722788,-0.017932166641104086,-0.0684497202664865,35.508377395873,,615.0
AHL|2024/25|4|Published,AHL,2024/25,4,Published,340000.0,0.0,-44744.551,862895.765,1158151.214,0.0,0.0,1219718.28,0.0,4900.0,0.0,1608.977,32890.289,57582.376,0.0,92081.642,158548.708,0.0,158548.708,1158151.214,136437.398,22370.77,114066.628,0.0,0.0,0.0,11237.289,102829.339,-84632.977,0.0,-28161.037,0.0,0.0,-28161.037,-8.28265794117647,86.83983794117648,BalanceSheet,3400.0,IncomeStatement,46357.399,-8.283,0.581,86.84,-74.753,619.18,,,,,,136437.398,0.12050965,0.8360363776506498,-28161.037,-0.20640262430099995,-0.023645173661496634,-0.09036156178116529,-74.75619594548311,,619.18
AHL|2024/25|3|Published,AHL,2024/25,3,Published,340000.0,0.0,-47234.531,864682.872,1157448.341,0.0,0.0,1231307.63,0.0,0.0,0.0,4900.473,9025.135,58147.199,0.0,72072.807,145932.096,0.0,145932.096,1157448.341,95873.723,15944.726,79928.997,0.0,0.0,0.0,9363.818,70565.179,-66448.147,0.0,-30651.017,0.0,0.0,-30651.017,-12.020006666666665,86.10749088235293,BalanceSheet,3400.0,IncomeStatement,34768.049,-12.02,0.494,86.107,-59.597,716.35,,,,,,95873.723,-0.01648565,0.8336903428690258,-30651.017,-0.3197019583770623,-0.0309616050319192,-0.1177901342421689,-59.59647276956586,,716.35
AHL|2024/25|2|Published,AHL,2024/25,2,Published,340000.0,0.0,-27051.793,874420.512,1187368.719,0.0,0.0,1242896.98,0.0,0.0,0.0,203.848,18329.421,68625.086,0.0,87158.355,142686.616,0.0,142686.616,1187368.719,79744.304,11042.584,68701.72,0.0,0.0,0.0,8373.844,60327.876,-47617.456,0.0,-10468.279,0.0,0.0,-10468.279,-6.157811176470588,92.04359029411765,,,,23178.699,,,,,,,,,,,,,,,,,,,,750.6
AHL|2024/25|1|Published,AHL,2024/25,1,Published,340000.0,0.0,-8955.37,891905.918,1222950.548,0.0,0.0,1254895.967,0.0,0.0,0.0,184.068,29725.03,70097.035,0.0,100006.133,131951.552,0.0,131951.552,1222950.548,53188.288,5709.56,47478.728,0.0,0.0,0.0,2642.575,44836.153,-26028.298,0.0,7628.144,0.0,0.0,7628.144,8.97428705882353,97.36606764705883,,,,11179.711,,,,,,,,,,,,,,,,,,,,689.0
AHL|2023/24|4|Published,AHL,2023/24,4,Published,340000.0,0.0,-13771.708,902775.739,1229004.031,0.0,0.0,1263638.28,0.0,0.0,0.0,182.181,30581.262,58786.681,0.0,89550.124,124184.373,0.0,124184.373,1229004.031,130527.704,20164.162,110363.542,0.0,0.0,0.0,11647.82,98715.722,-108221.637,0.0,-55807.165,0.0,0.0,-55807.165,-16.41387205882353,95.94949764705883,,,,46301.25,,,,,,,,,,,,,,,,,,,,520.3
AHL|2023/24|3|Published,AHL,2023/24,3,Published,340000.0,0.0,-6820.194,942493.921,1275673.727,0.0,0.0,1266850.11,0.0,0.0,0.0,1642.793,10539.36,66515.505,0.0,78697.658,69874.041,0.0,69874.041,1275673.727,94326.61,16585.823,77740.787,0.0,0.0,0.0,10369.506,67371.281,-81728.744,0.0,-48855.651,0.0,0.0,-48855.651,-19.15907882352941,97.99406058823529,,,,34498.188,,,,,,,,,,,,,,,,,,,,451.0
