Symbol,Sector,Ticker,Company,Latest Report,Latest Close,180 Day Avg,Day's Price Change,1 Wk Price Chg %,4 Wk Price Chg %,12 Wk Price Chg %,YTD Price Chg %,1 Year Price Chg %,Market Cap,Paidup Capital,Reserves & Surplus,Revenue,Gross Profit,Net Income,Distributable Profit,Gross Margin MRQ %,SG&A Margin MRQ %,EBITDA Margin MRQ %,EBIT Margin MRQ %,Net Profit Margin MRQ %,Gross Margin TTM %,SG&A Margin TTM %,EBITDA Margin TTM %,EBIT Margin TTM %,Net Profit Margin TTM %,ROE (F) %,ROE (MRQ) %,ROE (TTM) %,ROA (F) %,ROA (MRQ) %,ROA (TTM)%,EPS (F),EPS (MRQ),EPS (TTM),EPS (D),Bookvalue,PE (D),PE (F),PE (MRQ),PE (TTM),PBV,Current Ratio,Quick Ratio,Debt to Asset,Equity Multiplier,Beta Weekly,Beta Monthly,VaR 1 Week @ 5%,VaR 1 Week @ 1%,VaR 1 Month @ 5%,VaR 1 Month @ 1%,"S.D of Returns [Wk, 1Y]%","Mean Returns [Wk, 1Y]%","Estimated Risk Return Trade Off [Wk, 1Y]%","Historical Probability of Current Returns [Wk, 1Y]%",RSI,Relative Strength %,50 day MA vs 200 day MA %,Price Vs 52 Week High %,MACD Crossover
AHL,Hydro Power,AHL,Asian Hydropower Limited,2025/26 Q4,356.3,469.514,1.3,-0.0206,-0.1445,-0.256,-0.3438,-0.4111,1211420000.0,340000.0,-107326.744,81461.844,60172.498,-59183.629,0.0,1.017723,-0.005082,1.022805,0.624591,-0.33709,0.738659,0.118002,0.620657,0.040012,-0.72652,-0.249042,-0.167361,-0.220774,-0.054887,-0.036885,-0.053174,-17.40695,-11.697819,-17.40695,-17.40695,68.4333,-20.468836,-20.468836,-30.45867,-20.468836,5.206529,0.294047,0.276065,1.036897,4.638363,0.9299,0.9451,-0.0218,-0.0311,-0.1266,-0.18,0.0469,-0.012,-3.908333,0.574418,21.7386,-0.198875,-0.1905,-0.4733,-3.810167
AHPC,Hydro Power,AHPC,Arun Valley Hydropower Development,2025/26 Q4,254.9,275.9521,1.6,0.0258,-0.0345,-0.0724,-0.0219,-0.0508,9808559647.0,4040403.15,392135.805,287047.957,240411.699,137892.444,0.0,0.67823,0.084951,0.665719,0.246551,0.072622,0.837531,0.033357,0.962553,0.62496,0.480381,0.030967,0.003779,0.031303,0.029341,0.003581,0.029614,3.412839,0.416493,3.412839,3.412839,109.7054,74.688558,74.688558,612.01467,74.688558,2.323496,50.390441,26.035356,0.061669,1.055249,1.3559,1.3931,-0.0182,-0.0259,-0.1702,-0.2412,0.0344,-0.0017,-20.235294,0.21541,43.124,-0.024067,-0.038,-0.1956,-0.1425
AKJCL,Hydro Power,AKJCL,Ankhu Khola Jalvidhyut Company Ltd.,2025/26 Q4,338.0,375.7917,-6.0,-0.0183,-0.0709,-0.1484,0.7513,0.7666,6760000000.0,2000000.0,-126268.718,224292.684,188284.163,63595.21,0.0,0.884798,0.076694,0.95665,0.741456,0.487512,0.839457,0.046312,0.827525,0.510861,0.283537,0.034171,0.054289,0.034466,0.025308,0.040207,0.025052,3.17976,5.05185,3.179761,3.17976,93.6866,106.297314,106.297314,66.906183,106.297314,3.607775,21.573656,9.247125,0.271823,1.343949,1.2021,1.1913,-0.0176,-0.0252,-0.1603,-0.2318,0.0679,0.011,6.172727,0.668024,38.529,-0.108221,0.0971,-0.2318,-0.884762
AKPL,Hydro Power,AKPL,Arun Kabeli Power Ltd.,2025/26 Q4,249.0,265.9636,-1.0,0.0247,-0.0119,-0.0643,0.013,-0.0146,9700895829.0,3895942.1,68964.418,613304.193,536557.716,79681.696,0.0,0.77628,0.068088,0.375656,-0.113591,-0.557283,0.874864,0.031478,0.864879,0.500457,0.129922,0.019936,-0.064147,0.020058,0.011687,-0.037607,0.012024,2.045248,-6.581038,2.045248,2.045248,101.7702,121.745599,121.745599,-37.835977,121.745599,2.44669,4.329029,0.427414,0.496969,1.700913,1.3519,1.1603,-0.0187,-0.0266,-0.1424,-0.201,0.0334,-0.0006,-55.666667,0.227078,48.1893,-0.011519,-0.0286,-0.1968,0.419888
APHL,Hydro Power,APHL,Appolo Hydropower Limited,2025/26 Q4,680.1,786.5571,10.1,0.0046,-0.1655,-0.0182,0.0,0.0,3196470000.0,470000.0,11345.975,32523.394,16718.812,-19365.846,0.0,0.564229,0.593406,-0.016014,-0.016014,-0.493193,0.514055,0.629259,-0.049542,-0.049542,-0.595444,-0.045834,-0.133139,0.0,-0.014071,-0.040873,0.0,-4.120393,-11.969056,-4.120393,-4.120393,102.414,-165.05708,-165.05708,-56.821523,-165.05708,6.640691,0.5109,0.482928,0.776883,2.913508,0.6752,0.0,-0.0519,-0.0767,-0.2064,-0.2833,0.2102,0.0523,4.01912,0.58976,36.0641,0.558332,0.0,0.0,-1.909181
API,Hydro Power,API,Api Power,2025/26 Q4,327.5,340.4223,-1.5,-0.0052,-0.0106,-0.0471,0.1707,0.1981,19898663545.0,6379724.199,1244503.233,1766558.361,1527791.42,960605.093,0.0,0.860184,0.015927,1.257274,1.028783,0.653562,0.864841,0.017456,1.123218,0.88297,0.543772,0.128238,0.161296,0.133989,0.069934,0.087961,0.072949,15.057157,18.938653,15.057157,15.057157,119.5072,21.750454,21.750454,17.292676,21.750454,2.740421,2.728095,0.406144,0.576457,1.817632,1.2661,1.522,-0.017,-0.0242,-0.1639,-0.2355,0.0254,0.0036,7.055556,0.6355,45.5443,0.009652,0.0395,-0.1008,-0.010503
BARUN,Hydro Power,BARUN,Barun Hydropower,2025/26 Q4,309.0,338.1083,-0.3,0.0016,-0.0268,-0.0776,-0.0156,0.026,3311336700.0,1122532.425,55153.43,109238.005,90330.625,23367.215,0.0,0.758156,0.017863,0.717265,0.469866,0.189347,0.826916,0.077998,0.742231,0.463854,0.213911,0.019283,0.02117,0.021629,0.016221,0.017809,0.017698,2.081652,2.285323,2.081652,2.081652,108.1877,148.439817,148.439817,135.210621,148.439817,2.856148,19.412222,6.649799,0.191519,1.185035,1.0941,0.8412,-0.0174,-0.0248,-0.118,-0.1708,0.0346,-0.0002,-173.0,0.479255,40.7968,-0.02292,-0.0536,-0.2137,-0.277128
BEDC,Hydro Power,BEDC,Bhugol Energy Development Company Limited,2025/26 Q4,285.5,371.0645,-1.5,0.0018,-0.0965,-0.2387,-0.4703,-0.5422,1553272457.0,544053.4,-292261.539,62444.81,57689.313,-9227.586,0.0,1.11565,0.24422,0.871438,0.376731,-0.670245,0.923845,0.080842,0.843005,0.43079,-0.147772,-0.036024,-0.136157,-0.035202,-0.01197,-0.045241,-0.011879,-1.696081,-6.410529,-1.696081,-1.696081,46.2807,-168.329231,-168.329231,-44.536107,-168.329231,6.168875,4.949991,4.949991,0.733403,3.057255,1.15,1.0196,-0.0266,-0.038,-0.1857,-0.2688,0.0627,-0.0176,-3.5625,0.378505,29.8185,-0.13916,-0.2848,-0.6013,-1.475334
BGWT,Hydro Power,BGWT,Bhagawati Hydropower Development Company Limited,2025/26 Q4,461.1,636.4636,-5.4,-0.0493,-0.1423,-0.2906,-0.3973,-0.4006,2743302000.3,678239.9,90238.3,154099.599,129160.118,61090.054,0.0,0.718871,0.096498,0.622655,0.307738,0.173612,0.83816,0.127417,0.710828,0.518951,0.396432,0.079719,0.022548,0.081527,0.063847,0.018059,0.065469,9.007145,2.547628,9.007145,9.007145,113.3048,51.19269,51.19269,180.991862,51.19269,4.069555,15.367305,3.361581,0.226926,1.245941,0.6513,0.5852,-0.0198,-0.0281,-0.1437,-0.2114,0.0423,-0.0103,-4.106796,0.829034,32.201,-0.239997,-0.2064,-0.4613,-2.392048
BHCL,Hydro Power,BHCL,Bikash Hydropower Company Limited,2025/26 Q4,530.0,539.5496,14.2,-0.0239,0.0751,-0.0203,0.0655,0.1549,4818236890.0,909101.3,113936.356,190898.905,176672.415,98272.481,0.0,0.903128,0.130649,0.772498,0.610616,0.515349,0.925476,0.096647,0.829493,0.644939,0.514788,0.097312,0.107695,0.0,0.081149,0.089807,0.0807,10.809849,11.963193,10.809849,10.809849,112.5329,49.02936,49.02936,44.302555,49.02936,4.709736,6.540065,2.136917,0.144864,1.137473,1.456,1.1922,-0.0246,-0.0355,-0.1224,-0.1794,0.0554,0.0028,19.785714,0.687,49.3964,-0.011079,-0.0447,-0.2078,-2.717637
